id,kode_provinsi,nama_provinsi,jumlah_penduduk,satuan,tahun
157,62,KALIMANTAN TENGAH,2737190,JIWA,2022
158,63,KALIMANTAN SELATAN,4170170,JIWA,2022
159,64,KALIMANTAN TIMUR,3856780,JIWA,2022
160,65,KALIMANTAN UTARA,720060,JIWA,2022
161,71,SULAWESI UTARA,2660760,JIWA,2022
162,72,SULAWESI TENGAH,3051150,JIWA,2022
163,73,SULAWESI SELATAN,9260070,JIWA,2022
164,74,SULAWESI TENGGARA,2704610,JIWA,2022
165,75,GORONTALO,1198420,JIWA,2022
166,76,SULAWESI BARAT,1458890,JIWA,2022
167,81,MALUKU,1895070,JIWA,2022
168,82,MALUKU UTARA,1318470,JIWA,2022
169,91,PAPUA BARAT,1168420,JIWA,2022
170,94,PAPUA,4420740,JIWA,2022
171,11,ACEH,5482530,JIWA,2023
172,12,SUMATERA UTARA,15386640,JIWA,2023
173,13,SUMATERA BARAT,5757210,JIWA,2023
174,14,RIAU,6642874,JIWA,2023
175,15,JAMBI,3679170,JIWA,2023
176,16,SUMATERA SELATAN,8743520,JIWA,2023
177,17,BENGKULU,2086010,JIWA,2023
178,18,LAMPUNG,9313990,JIWA,2023
179,19,KEPULAUAN BANGKA BELITUNG,1511900,JIWA,2023
180,21,KEPULAUAN RIAU,2152630,JIWA,2023
181,31,DKI JAKARTA,10672100,JIWA,2023
182,32,JAWA BARAT,49860330,JIWA,2023
183,33,JAWA TENGAH,37540960,JIWA,2023
184,34,DI YOGYAKARTA,3736490,JIWA,2023
185,35,JAWA TIMUR,41527930,JIWA,2023
186,36,BANTEN,12307730,JIWA,2023
187,51,BALI,4404260,JIWA,2023
188,52,NUSA TENGGARA BARAT,5560290,JIWA,2023
189,53,NUSA TENGGARA TIMUR,5569070,JIWA,2023
190,61,KALIMANTAN BARAT,5623330,JIWA,2023
191,62,KALIMANTAN TENGAH,2773750,JIWA,2023
192,63,KALIMANTAN SELATAN,4222330,JIWA,2023
193,64,KALIMANTAN TIMUR,3909740,JIWA,2023
194,65,KALIMANTAN UTARA,730010,JIWA,2023
195,71,SULAWESI UTARA,2681540,JIWA,2023
196,72,SULAWESI TENGAH,3086750,JIWA,2023
197,73,SULAWESI SELATAN,9362290,JIWA,2023
198,74,SULAWESI TENGGARA,2749010,JIWA,2023
199,75,GORONTALO,1213180,JIWA,2023
200,76,SULAWESI BARAT,1481080,JIWA,2023
201,81,MALUKU,1920460,JIWA,2023
202,82,MALUKU UTARA,1337150,JIWA,2023
203,91,PAPUA BARAT,1187270,JIWA,2023
204,94,PAPUA,4482690,JIWA,2023
205,11,ACEH,5554820,JIWA,2024
206,12,SUMATERA UTARA,15588530,JIWA,2024
207,13,SUMATERA BARAT,5836160,JIWA,2024
208,14,RIAU,6728050,JIWA,2024
209,15,JAMBI,3724280,JIWA,2024
210,16,SUMATERA SELATAN,8837300,JIWA,2024
211,17,BENGKULU,2112240,JIWA,2024
212,18,LAMPUNG,9419580,JIWA,2024
213,19,KEPULAUAN BANGKA BELITUNG,1531530,JIWA,2024
214,21,KEPULAUAN RIAU,2183290,JIWA,2024
215,31,DKI JAKARTA,10684950,JIWA,2024
216,32,JAWA BARAT,50345190,JIWA,2024
217,33,JAWA TENGAH,37892280,JIWA,2024
218,34,DI YOGYAKARTA,3759500,JIWA,2024
219,35,JAWA TIMUR,41814500,JIWA,2024
220,36,BANTEN,12431390,JIWA,2024
221,51,BALI,4433260,JIWA,2024
222,52,NUSA TENGGARA BARAT,5646020,JIWA,2024
223,53,NUSA TENGGARA TIMUR,5656040,JIWA,2024
224,61,KALIMANTAN BARAT,5695480,JIWA,2024
225,62,KALIMANTAN TENGAH,2809700,JIWA,2024
226,63,KALIMANTAN SELATAN,4273400,JIWA,2024
227,64,KALIMANTAN TIMUR,4045860,JIWA,2024
228,65,KALIMANTAN UTARA,739780,JIWA,2024
229,71,SULAWESI UTARA,2701780,JIWA,2024
230,72,SULAWESI TENGAH,3121750,JIWA,2024
231,73,SULAWESI SELATAN,9463390,JIWA,2024
232,74,SULAWESI TENGGARA,2793070,JIWA,2024
233,75,GORONTALO,1227790,JIWA,2024
234,76,SULAWESI BARAT,1503230,JIWA,2024
235,81,MALUKU,1945650,JIWA,2024
236,82,MALUKU UTARA,1355620,JIWA,2024
237,91,PAPUA BARAT,1205820,JIWA,2024
238,94,PAPUA,4542580,JIWA,2024
239,11,ACEH,5625960,JIWA,2025
240,12,SUMATERA UTARA,15785840,JIWA,2025
241,13,SUMATERA BARAT,5914300,JIWA,2025
242,14,RIAU,6811160,JIWA,2025
243,15,JAMBI,3768480,JIWA,2025
244,16,SUMATERA SELATAN,8928520,JIWA,2025
245,17,BENGKULU,2138040,JIWA,2025
246,18,LAMPUNG,9522910,JIWA,2025
247,19,KEPULAUAN BANGKA BELITUNG,1550820,JIWA,2025
248,21,KEPULAUAN RIAU,2213460,JIWA,2025
249,31,DKI JAKARTA,10677980,JIWA,2025
250,32,JAWA BARAT,50759000,JIWA,2025
251,33,JAWA TENGAH,38233930,JIWA,2025
252,34,DI YOGYAKARTA,3781550,JIWA,2025
253,35,JAWA TIMUR,42089270,JIWA,2025
254,36,BANTEN,12537440,JIWA,2025
255,51,BALI,4461270,JIWA,2025
256,52,NUSA TENGGARA BARAT,5731110,JIWA,2025
257,53,NUSA TENGGARA TIMUR,5742560,JIWA,2025
258,61,KALIMANTAN BARAT,5766030,JIWA,2025
259,62,KALIMANTAN TENGAH,2844990,JIWA,2025
260,63,KALIMANTAN SELATAN,4323330,JIWA,2025
261,64,KALIMANTAN TIMUR,4267600,JIWA,2025
262,65,KALIMANTAN UTARA,749370,JIWA,2025
263,71,SULAWESI UTARA,2721440,JIWA,2025
264,72,SULAWESI TENGAH,3156100,JIWA,2025
265,73,SULAWESI SELATAN,9563130,JIWA,2025
266,74,SULAWESI TENGGARA,2836740,JIWA,2025
267,75,GORONTALO,1242240,JIWA,2025
268,76,SULAWESI BARAT,1525340,JIWA,2025
269,81,MALUKU,1970560,JIWA,2025
270,82,MALUKU UTARA,1373820,JIWA,2025
271,91,PAPUA BARAT,1224080,JIWA,2025
272,94,PAPUA,4600430,JIWA,2025
