id,kode_provinsi,nama_provinsi,indeks_pembangunan_manusia,satuan,tahun
359,53,NUSA TENGGARA TIMUR,65.19,POIN,2020
360,61,KALIMANTAN BARAT,67.66,POIN,2020
361,62,KALIMANTAN TENGAH,71.05,POIN,2020
362,63,KALIMANTAN SELATAN,70.91,POIN,2020
363,64,KALIMANTAN TIMUR,76.24,POIN,2020
364,65,KALIMANTAN UTARA,70.63,POIN,2020
365,71,SULAWESI UTARA,72.93,POIN,2020
366,72,SULAWESI TENGAH,69.55,POIN,2020
367,73,SULAWESI SELATAN,71.93,POIN,2020
368,74,SULAWESI TENGGARA,71.45,POIN,2020
369,75,GORONTALO,68.68,POIN,2020
370,76,SULAWESI BARAT,66.11,POIN,2020
371,81,MALUKU,69.49,POIN,2020
372,82,MALUKU UTARA,68.49,POIN,2020
373,91,PAPUA BARAT,65.09,POIN,2020
374,94,PAPUA,60.44,POIN,2020
375,11,ACEH,72.18,POIN,2021
376,12,SUMATERA UTARA,72.0,POIN,2021
377,13,SUMATERA BARAT,72.65,POIN,2021
378,14,RIAU,72.94,POIN,2021
379,15,JAMBI,71.63,POIN,2021
380,16,SUMATERA SELATAN,70.24,POIN,2021
381,17,BENGKULU,71.64,POIN,2021
382,18,LAMPUNG,69.9,POIN,2021
383,19,KEPULAUAN BANGKA BELITUNG,71.69,POIN,2021
384,21,KEPULAUAN RIAU,75.79,POIN,2021
385,31,DKI JAKARTA,81.11,POIN,2021
386,32,JAWA BARAT,72.45,POIN,2021
387,33,JAWA TENGAH,72.16,POIN,2021
388,34,DI YOGYAKARTA,80.22,POIN,2021
389,35,JAWA TIMUR,72.14,POIN,2021
390,36,BANTEN,72.72,POIN,2021
391,51,BALI,75.69,POIN,2021
392,52,NUSA TENGGARA BARAT,68.65,POIN,2021
393,53,NUSA TENGGARA TIMUR,65.28,POIN,2021
394,61,KALIMANTAN BARAT,67.9,POIN,2021
395,62,KALIMANTAN TENGAH,71.25,POIN,2021
396,63,KALIMANTAN SELATAN,71.28,POIN,2021
397,64,KALIMANTAN TIMUR,76.88,POIN,2021
398,65,KALIMANTAN UTARA,71.19,POIN,2021
399,71,SULAWESI UTARA,73.3,POIN,2021
400,72,SULAWESI TENGAH,69.79,POIN,2021
401,73,SULAWESI SELATAN,72.24,POIN,2021
402,74,SULAWESI TENGGARA,71.66,POIN,2021
403,75,GORONTALO,69.0,POIN,2021
404,76,SULAWESI BARAT,66.36,POIN,2021
405,81,MALUKU,69.71,POIN,2021
406,82,MALUKU UTARA,68.76,POIN,2021
407,91,PAPUA BARAT,65.26,POIN,2021
408,94,PAPUA,60.62,POIN,2021
409,11,ACEH,72.8,POIN,2022
410,12,SUMATERA UTARA,72.71,POIN,2022
411,13,SUMATERA BARAT,73.26,POIN,2022
412,14,RIAU,73.52,POIN,2022
413,15,JAMBI,72.14,POIN,2022
414,16,SUMATERA SELATAN,70.9,POIN,2022
415,17,BENGKULU,72.16,POIN,2022
416,18,LAMPUNG,70.45,POIN,2022
417,19,KEPULAUAN BANGKA BELITUNG,72.24,POIN,2022
418,21,KEPULAUAN RIAU,76.46,POIN,2022
419,31,DKI JAKARTA,81.65,POIN,2022
420,32,JAWA BARAT,73.12,POIN,2022
421,33,JAWA TENGAH,72.79,POIN,2022
422,34,DI YOGYAKARTA,80.64,POIN,2022
423,35,JAWA TIMUR,72.75,POIN,2022
424,36,BANTEN,73.32,POIN,2022
425,51,BALI,76.44,POIN,2022
426,52,NUSA TENGGARA BARAT,69.46,POIN,2022
427,53,NUSA TENGGARA TIMUR,65.9,POIN,2022
428,61,KALIMANTAN BARAT,68.63,POIN,2022
429,62,KALIMANTAN TENGAH,71.63,POIN,2022
430,63,KALIMANTAN SELATAN,71.84,POIN,2022
431,64,KALIMANTAN TIMUR,77.44,POIN,2022
432,65,KALIMANTAN UTARA,71.83,POIN,2022
433,71,SULAWESI UTARA,73.81,POIN,2022
434,72,SULAWESI TENGAH,70.28,POIN,2022
435,73,SULAWESI SELATAN,72.82,POIN,2022
436,74,SULAWESI TENGGARA,72.23,POIN,2022
437,75,GORONTALO,69.81,POIN,2022
